Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,animal,location,object,eventno
13,1602317073821,10/10/2020 08:04:33,1602317123717,1,10/10/2020 09:05:23,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,4,1,2,Screen 2,advancementZone,continue_button,6752.24499986507,,,,,0,1,0,,,,,,end_practice,,,,
14,1602317074336,10/10/2020 08:04:34,1602317124203,1,10/10/2020 09:05:24,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,4,1,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,,end_practice,,,,
15,1602317074868,10/10/2020 08:04:34,1602317124754,1,10/10/2020 09:05:24,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,48,3,1,fixation,fixation,fixation,550.2419999999984,,,,,0,1,0,,,,,1,encoding_trial,elephant,shoe,cinema,40
16,1602317080842,10/10/2020 08:04:40,1602317130740,1,10/10/2020 09:05:30,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,48,3,2,stimuli,timelimit,timelimit_screen,5985.966,,,,,0,1,0,,,1,,1,encoding_trial,elephant,shoe,cinema,40
17,1602317081359,10/10/2020 08:04:41,1602317131241,1,10/10/2020 09:05:31,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,48,3,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,elephant,shoe,cinema,40
18,1602317081891,10/10/2020 08:04:41,1602317131797,1,10/10/2020 09:05:31,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,7,4,1,fixation,fixation,fixation,557.1639999999898,,,,,0,1,0,,,,,1,encoding_trial,sheep,skipping rope,church,3
19,1602317087886,10/10/2020 08:04:47,1602317137784,1,10/10/2020 09:05:37,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,7,4,2,stimuli,timelimit,timelimit_screen,5985.966,,,,,0,1,0,,,1,,1,encoding_trial,sheep,skipping rope,church,3
20,1602317088386,10/10/2020 08:04:48,1602317138284,1,10/10/2020 09:05:38,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,7,4,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,sheep,skipping rope,church,3
21,1602317088933,10/10/2020 08:04:48,1602317138834,1,10/10/2020 09:05:38,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,45,5,1,fixation,fixation,fixation,550.2419999999984,,,,,0,1,0,,,,,1,encoding_trial,horse,phone,kitchen,37
22,1602317094927,10/10/2020 08:04:54,1602317144820,1,10/10/2020 09:05:44,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,45,5,2,stimuli,timelimit,timelimit_screen,5985.966,,,,,0,1,0,,,1,,1,encoding_trial,horse,phone,kitchen,37
23,1602317095427,10/10/2020 08:04:55,1602317145321,1,10/10/2020 09:05:45,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,45,5,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,horse,phone,kitchen,37
24,1602317095974,10/10/2020 08:04:55,1602317145877,1,10/10/2020 09:05:45,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,35,6,1,fixation,fixation,fixation,556.5610000000015,,,,,0,1,0,,,,,1,encoding_trial,reindeer,paintbrush,restaurant,29
25,1602317101957,10/10/2020 08:05:01,1602317151863,1,10/10/2020 09:05:51,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,35,6,2,stimuli,timelimit,timelimit_screen,5985.966,,,,,0,1,0,,,1,,1,encoding_trial,reindeer,paintbrush,restaurant,29
26,1602317102459,10/10/2020 08:05:02,1602317152364,1,10/10/2020 09:05:52,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,35,6,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,reindeer,paintbrush,restaurant,29
27,1602317103006,10/10/2020 08:05:03,1602317152914,1,10/10/2020 09:05:52,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,41,7,1,fixation,fixation,fixation,550.2419999999984,,,,,0,1,0,,,,,1,encoding_trial,cat,bucket,jail,34
28,1602317108997,10/10/2020 08:05:08,1602317158900,1,10/10/2020 09:05:58,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,41,7,2,stimuli,timelimit,timelimit_screen,5985.966,,,,,0,1,0,,,1,,1,encoding_trial,cat,bucket,jail,34
29,1602317109497,10/10/2020 08:05:09,1602317159400,1,10/10/2020 09:05:59,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,41,7,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,cat,bucket,jail,34
30,1602317110043,10/10/2020 08:05:10,1602317159947,1,10/10/2020 09:05:59,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,31,8,1,fixation,fixation,fixation,547.744000000006,,,,,0,1,0,,,,,1,encoding_trial,dragonfly,headphones,shed,25
31,1602317116048,10/10/2020 08:05:16,1602317165934,1,10/10/2020 09:06:05,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,31,8,2,stimuli,timelimit,timelimit_screen,5985.965999999986,,,,,0,1,0,,,1,,1,encoding_trial,dragonfly,headphones,shed,25
32,1602317116517,10/10/2020 08:05:16,1602317166434,1,10/10/2020 09:06:06,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,31,8,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,dragonfly,headphones,shed,25
33,1602317117079,10/10/2020 08:05:17,1602317166984,1,10/10/2020 09:06:06,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,50,9,1,fixation,fixation,fixation,550.2419999999984,,,,,0,1,0,,,,,1,encoding_trial,rabbit,balloon,swimming pool,42
34,1602317123074,10/10/2020 08:05:23,1602317172971,1,10/10/2020 09:06:12,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,50,9,2,stimuli,timelimit,timelimit_screen,5985.966000000015,,,,,0,1,0,,,1,,1,encoding_trial,rabbit,balloon,swimming pool,42
35,1602317123574,10/10/2020 08:05:23,1602317173471,1,10/10/2020 09:06:13,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,50,9,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,rabbit,balloon,swimming pool,42
36,1602317124109,10/10/2020 08:05:24,1602317174018,1,10/10/2020 09:06:14,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,43,10,1,fixation,fixation,fixation,548.0499999999884,,,,,0,1,0,,,,,1,encoding_trial,frog,banana,city,36
37,1602317130104,10/10/2020 08:05:30,1602317180005,1,10/10/2020 09:06:20,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,43,10,2,stimuli,timelimit,timelimit_screen,5985.966000000015,,,,,0,1,0,,,1,,1,encoding_trial,frog,banana,city,36
38,1602317130604,10/10/2020 08:05:30,1602317180506,1,10/10/2020 09:06:20,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,43,10,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,frog,banana,city,36
39,1602317132216,10/10/2020 08:05:32,1602317182121,1,10/10/2020 09:06:22,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,13,1,1,attention,Zone3,response_keyboard_single,1588.8499999418855,,,1,1,1,0,0,,,,,,attention_check,,,,
40,1602317132700,10/10/2020 08:05:32,1602317182607,1,10/10/2020 09:06:22,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,13,1,2,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,,attention_check,,,,
41,1602317133263,10/10/2020 08:05:33,1602317183157,1,10/10/2020 09:06:23,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,23,11,1,fixation,fixation,fixation,550.2419999999984,,,,,0,1,0,,,,,1,encoding_trial,wolf,trophy,university,18
42,1602317139246,10/10/2020 08:05:39,1602317189146,1,10/10/2020 09:06:29,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,23,11,2,stimuli,timelimit,timelimit_screen,5989.2059999999765,,,,,0,1,0,,,1,,1,encoding_trial,wolf,trophy,university,18
43,1602317139746,10/10/2020 08:05:39,1602317189646,1,10/10/2020 09:06:29,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,23,11,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,wolf,trophy,university,18
44,1602317140293,10/10/2020 08:05:40,1602317190196,1,10/10/2020 09:06:30,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,17,12,1,fixation,fixation,fixation,550.2419999999984,,,,,0,1,0,,,,,1,encoding_trial,bear,mug,lighthouse,12
45,1602317146286,10/10/2020 08:05:46,1602317196183,1,10/10/2020 09:06:36,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,17,12,2,stimuli,timelimit,timelimit_screen,5985.966000000015,,,,,0,1,0,,,1,,1,encoding_trial,bear,mug,lighthouse,12
46,1602317146771,10/10/2020 08:05:46,1602317196683,1,10/10/2020 09:06:36,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,17,12,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,bear,mug,lighthouse,12
47,1602317147334,10/10/2020 08:05:47,1602317197235,1,10/10/2020 09:06:37,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,53,13,1,fixation,fixation,fixation,552.7719999999972,,,,,0,1,0,,,,,1,encoding_trial,aardvark,pen,nightclub,45
48,1602317153330,10/10/2020 08:05:53,1602317203222,1,10/10/2020 09:06:43,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,53,13,2,stimuli,timelimit,timelimit_screen,5985.966000000015,,,,,0,1,0,,,1,,1,encoding_trial,aardvark,pen,nightclub,45
49,1602317153814,10/10/2020 08:05:53,1602317203721,1,10/10/2020 09:06:43,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,53,13,3,iti,fixation,timelimit_screen,500.21999999997206,,,,,0,1,0,,,1,,1,encoding_trial,aardvark,pen,nightclub,45
50,1602317154361,10/10/2020 08:05:54,1602317204272,1,10/10/2020 09:06:44,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,49,14,1,fixation,fixation,fixation,550.2420000000275,,,,,0,1,0,,,,,1,encoding_trial,penguin,whistle,library,41
51,1602317160355,10/10/2020 08:06:00,1602317210258,1,10/10/2020 09:06:50,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,49,14,2,stimuli,timelimit,timelimit_screen,5985.965999999986,,,,,0,1,0,,,1,,1,encoding_trial,penguin,whistle,library,41
52,1602317160855,10/10/2020 08:06:00,1602317210759,1,10/10/2020 09:06:50,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,49,14,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,penguin,whistle,library,41
53,1602317161417,10/10/2020 08:06:01,1602317211314,1,10/10/2020 09:06:51,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,5,15,1,fixation,fixation,fixation,556.1589999999851,,,,,0,1,0,,,,,1,encoding_trial,fish,dice,theatre,1
54,1602317167421,10/10/2020 08:06:07,1602317217301,1,10/10/2020 09:06:57,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,5,15,2,stimuli,timelimit,timelimit_screen,5985.966000000015,,,,,0,1,0,,,1,,1,encoding_trial,fish,dice,theatre,1
55,1602317167890,10/10/2020 08:06:07,1602317217801,1,10/10/2020 09:06:57,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,5,15,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,fish,dice,theatre,1
56,1602317168453,10/10/2020 08:06:08,1602317218351,1,10/10/2020 09:06:58,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,59,16,1,fixation,fixation,fixation,550.2419999999984,,,,,0,1,0,,,,,1,encoding_trial,ostrich,flower,basement,50
57,1602317174433,10/10/2020 08:06:14,1602317224338,1,10/10/2020 09:07:04,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,59,16,2,stimuli,timelimit,timelimit_screen,5985.965999999986,,,,,0,1,0,,,1,,1,encoding_trial,ostrich,flower,basement,50
58,1602317174937,10/10/2020 08:06:14,1602317224838,1,10/10/2020 09:07:04,20655,19,task-mr21,,7156374,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,Encoding,16,11,attention-pass,attention-pass,encoding,encoding,59,16,3,iti,fixation,timelimit_screen,500.22000000000116,,,,,0,1,0,,,1,,1,encoding_trial,ostrich,flower,basement,50
