Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,cue,category_cue,target,eventno,pairtype,untested_element
1,1602317710003,10/10/2020 08:15:10,1602317709379,-7,10/10/2020 01:15:09,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1602318175941,10/10/2020 08:22:55,1602318175365,-7,10/10/2020 01:22:55,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
3,1602318201362,10/10/2020 08:23:21,1602318200748,-7,10/10/2020 01:23:20,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
4,1602318210240,10/10/2020 08:23:30,1602318209769,-7,10/10/2020 01:23:29,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,7_ret_reex,1,1,1,ret_inst1,advancementZone,continue_button,8680.900000006659,,,,,0,1,0,,,,,,retfirst_instructions,,,,,,,
5,1602318227097,10/10/2020 08:23:47,1602318226408,-7,10/10/2020 01:23:46,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,7_ret_reex,1,1,2,ret_inst2,advancementZone,continue_button,16527.800000010757,,,,,0,1,0,,,,,,retfirst_instructions,,,,,,,
6,1602318232593,10/10/2020 08:23:52,1602318231909,-7,10/10/2020 01:23:51,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,7_ret_reex,1,1,3,ret_inst3,advancementZone,continue_button,5429.000000003725,,,,,0,1,0,,,,,,retfirst_instructions,,,,,,,
7,1602318233218,10/10/2020 08:23:53,1602318232352,-7,10/10/2020 01:23:52,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,7_ret_reex,1,1,4,iti,Zone1,timelimit_screen,495.67000000000553,,,,,0,1,0,,,1,,,retfirst_instructions,,,,,,,
8,1602318233843,10/10/2020 08:23:53,1602318232894,-7,10/10/2020 01:23:52,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x378,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,7_ret_reex,2,1,1,fixation,fixation,fixation,544.685000000005,,,,,0,1,0,,,,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
9,1602318243536,10/10/2020 08:24:03,1602318242885,-7,10/10/2020 01:24:02,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x105,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,7_ret_reex,2,1,2,ret_stimuli,Zone8,response_text_entry,9977.351999999992,,,m,,0,1,0,,,,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
10,1602318244083,10/10/2020 08:24:04,1602318242889,-7,10/10/2020 01:24:02,20655,19,task-8pn4,,7156485,BLIND,2080731,,complete,,5f816aa7ec8934220f25b783,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,780x360,980x105,,Retrieval/Reexposure,27,7,attention-pass,screenout,7_ret_reex,7_ret_reex,2,1,2,ret_stimuli,Zone3,timelimit_screen,9977.351999999992,,,n/a,,0,1,0,,,1,,,retrieval_trial,,meerkat,LOCATION,airport,55,AL,O
