Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,cue,category_cue,target,eventno,pairtype,untested_element
1,1602404367599,11/10/2020 08:19:27,1602404367515,1,11/10/2020 09:19:27,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1602404387512,11/10/2020 08:19:47,1602404387466,1,11/10/2020 09:19:47,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,1,1,1,reex_inst1,advancementZone,continue_button,19437.44499999957,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
3,1602404396754,11/10/2020 08:19:56,1602404396709,1,11/10/2020 09:19:56,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,1,1,2,reex_inst2,advancementZone,continue_button,9215.72500000002,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
4,1602404397285,11/10/2020 08:19:57,1602404397223,1,11/10/2020 09:19:57,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,1,1,3,iti,Zone1,timelimit_screen,499.9449999999997,,,,,0,1,0,,,1,,,reexfirst_instructions,,,,,,,
5,1602404397817,11/10/2020 08:19:57,1602404397756,1,11/10/2020 09:19:57,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,2,1,1,fixation,fixation,fixation,550.0080000000016,,,,,0,1,0,,,,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
6,1602404407801,11/10/2020 08:20:07,1602404407742,1,11/10/2020 09:20:07,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,2,1,2,reex_stimuli,Zone3,timelimit_screen,9982.530000000002,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
7,1602404408301,11/10/2020 08:20:08,1602404408239,1,11/10/2020 09:20:08,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,2,1,3,iti,Zone1,timelimit_screen,500.3009999999995,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
8,1602404408833,11/10/2020 08:20:08,1602404408788,1,11/10/2020 09:20:08,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,3,2,1,fixation,fixation,fixation,549.9929999999949,,,,,0,1,0,,,,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
9,1602404418821,11/10/2020 08:20:18,1602404418771,1,11/10/2020 09:20:18,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,3,2,2,reex_stimuli,Zone3,timelimit_screen,9982.332999999999,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
10,1602404419321,11/10/2020 08:20:19,1602404419271,1,11/10/2020 09:20:19,20655,20,task-4tl9,,7166548,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,Retrieval/Reexposure,27,14,attention-pass,attention-pass,14_reex_ret,14_reex_ret,3,2,3,iti,Zone1,timelimit_screen,500.49600000000646,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
